topic,variety
Topic 37,Bordeaux-style Red Blend
Topic 37,Pinot Noir
Topic 37,Chardonnay
Topic 37,Sangiovese
Topic 37,Bordeaux-style Red Blend
Topic 37,Champagne Blend
Topic 37,Bordeaux-style Red Blend
Topic 37,Cabernet Sauvignon
Topic 38,Syrah
Topic 38,Rosé
Topic 38,Bordeaux-style White Blend
Topic 38,Rosé
Topic 38,Sparkling Blend
Topic 38,Malbec
Topic 38,Sauvignon Blanc
Topic 38,Cabernet Franc
Topic 38,White Blend
Topic 38,Syrah-Grenache
Topic 38,Riesling
Topic 38,Chardonnay
Topic 38,Cabernet Sauvignon
Topic 38,Champagne Blend
Topic 38,Red Blend
Topic 38,Chardonnay
Topic 38,Bordeaux-style White Blend
Topic 38,Pinot Noir
Topic 38,Chardonnay
Topic 38,Zinfandel
Topic 38,Red Blend
Topic 38,Red Blend
Topic 38,Zinfandel
Topic 38,Riesling
Topic 38,Chardonnay
Topic 39,Grüner Veltliner
Topic 39,Carmenère
Topic 39,Weissburgunder
Topic 39,Pinot Gris
Topic 39,Chardonnay
Topic 39,Bordeaux-style White Blend
Topic 39,Pinot Gris
Topic 39,Chardonnay
Topic 39,Sauvignon Blanc
Topic 39,Sauvignon Blanc
Topic 39,White Blend
Topic 39,Champagne Blend
Topic 39,Sauvignon Blanc
Topic 39,Bordeaux-style White Blend
Topic 39,Portuguese White
Topic 39,Chardonnay
Topic 39,Chardonnay
Topic 39,Grüner Veltliner
Topic 39,Rosé
Topic 39,Rosé
Topic 39,Red Blend
Topic 39,Port
Topic 39,Rosé
Topic 39,Carmenère
Topic 39,Grüner Veltliner
Topic 40,Port
Topic 40,Barbera
Topic 40,Pinot Blanc
Topic 40,Sangiovese
Topic 40,Shiraz
Topic 40,Pinot Noir
Topic 40,Champagne Blend
Topic 40,Merlot
Topic 40,Sauvignon Blanc
Topic 40,Rosé
Topic 40,Bordeaux-style Red Blend
Topic 40,Riesling
Topic 40,Merlot
Topic 40,Sangiovese Grosso
Topic 40,Champagne Blend
Topic 40,Barbera
Topic 40,Champagne Blend
Topic 40,Chardonnay
Topic 40,Rosé
Topic 40,Shiraz
Topic 40,Viognier
Topic 40,Zinfandel
Topic 40,Athiri
Topic 40,Portuguese Red
Topic 40,Cabernet Sauvignon
Topic 41,Rosé
Topic 41,Rhône-style Red Blend
Topic 41,Cabernet Sauvignon
Topic 41,Mourvèdre
Topic 41,Merlot
Topic 41,Portuguese White
Topic 41,Cabernet Sauvignon
Topic 41,Nero d'Avola
Topic 41,Merlot
Topic 41,Bordeaux-style White Blend
Topic 41,Cabernet Sauvignon
Topic 41,Pinot Noir
Topic 41,Zinfandel
Topic 41,Montepulciano
Topic 41,Pinot Grigio
Topic 41,Tempranillo
Topic 41,Shiraz
Topic 41,Tempranillo Blend
Topic 41,Bordeaux-style Red Blend
Topic 41,Syrah
Topic 41,Chenin Blanc
Topic 41,Sauvignon Blanc
Topic 41,Grüner Veltliner
Topic 41,Grüner Veltliner
Topic 41,Red Blend
Topic 42,Chardonnay
Topic 42,Chenin Blanc
Topic 42,Champagne Blend
Topic 42,Pinot Gris
Topic 42,Cabernet Sauvignon
Topic 42,Assyrtico
Topic 42,Gewürztraminer
Topic 42,Chardonnay
Topic 42,Syrah
Topic 42,Merlot
Topic 42,Bordeaux-style Red Blend
Topic 42,Bordeaux-style White Blend
Topic 42,Red Blend
Topic 42,Champagne Blend
Topic 42,Bordeaux-style Red Blend
Topic 42,Pinot Noir
Topic 42,Champagne Blend
Topic 42,Rosé
Topic 42,Port
Topic 42,Nebbiolo
Topic 42,Red Blend
Topic 42,Cabernet Sauvignon
Topic 42,Pinot Noir
Topic 42,Bordeaux-style White Blend
Topic 42,Red Blend
Topic 43,Malbec
Topic 43,Rosé
Topic 43,Sparkling Blend
Topic 43,Red Blend
Topic 43,Rosé
Topic 43,Rosé
Topic 43,Sparkling Blend
Topic 43,Bordeaux-style Red Blend
Topic 43,Chardonnay
Topic 43,Pinot Blanc
Topic 43,Tempranillo Blend
Topic 43,Rhône-style Red Blend
Topic 43,Zinfandel
Topic 43,Bordeaux-style Red Blend
Topic 43,Chardonnay
Topic 43,Champagne Blend
Topic 43,G-S-M
Topic 43,Pinot Noir
Topic 43,Port
Topic 43,Port
Topic 43,Portuguese White
Topic 43,Pinot Gris
Topic 43,Pinot Noir
Topic 43,Chardonnay
Topic 43,Red Blend
Topic 44,Chardonnay
Topic 44,Pinot Gris
Topic 44,Pinot Noir
Topic 44,Malbec
Topic 44,Moscato
Topic 44,Chardonnay
Topic 44,Chardonnay
Topic 44,Chardonnay
Topic 44,Pinot Noir
Topic 44,Tempranillo
Topic 44,Dolcetto
Topic 44,Merlot
Topic 44,Cabernet Sauvignon
Topic 44,Chardonnay
Topic 44,Pinot Noir
Topic 44,Chardonnay
Topic 44,Viognier
Topic 44,Sparkling Blend
Topic 44,Cabernet Sauvignon
Topic 44,Bordeaux-style Red Blend
Topic 44,Rosé
Topic 44,Sparkling Blend
Topic 44,Cabernet Sauvignon
Topic 44,Syrah
Topic 44,Syrah
Topic 45,Rosé
Topic 45,Rosé
Topic 45,Lambrusco
Topic 45,Cabernet Sauvignon
Topic 45,Cabernet Sauvignon
Topic 45,Pinot Noir
Topic 45,Pinot Noir
Topic 45,Malbec
Topic 45,Pinot Noir
Topic 45,Red Blend
Topic 45,Sparkling Blend
Topic 45,Merlot
Topic 45,Malbec
Topic 45,Nebbiolo
Topic 45,Rosé
Topic 45,Zinfandel
Topic 45,Pinot Nero
Topic 45,Syrah
Topic 45,Spätburgunder
Topic 45,Cabernet Sauvignon
Topic 45,Tempranillo
Topic 45,Sauvignon Blanc
Topic 45,Syrah
Topic 45,Cabernet Sauvignon
Topic 45,Syrah
Topic 46,Cabernet Sauvignon-Shiraz
Topic 46,Pinot Noir
Topic 46,Port
Topic 46,Pinot Noir
Topic 46,Pinot Noir
Topic 46,Blaufränkisch
Topic 46,Gamay
Topic 46,Pinot Noir
Topic 46,Meritage
Topic 46,Malbec
Topic 46,Champagne Blend
Topic 46,Cabernet Sauvignon
Topic 46,Touriga Nacional
Topic 46,Chardonnay
Topic 46,Shiraz
Topic 46,Pinot Noir
Topic 46,Portuguese Red
Topic 46,Cabernet Sauvignon
Topic 46,Bordeaux-style Red Blend
Topic 46,Cabernet Sauvignon
Topic 46,Portuguese Red
Topic 46,Chardonnay
Topic 46,Chardonnay
Topic 46,Bordeaux-style Red Blend
Topic 46,Portuguese Red
Topic 47,Red Blend
Topic 47,Aragonez
Topic 47,Merlot
Topic 47,Cabernet Sauvignon
Topic 47,Rosé
Topic 47,Pinot Gris
Topic 47,Pinot Noir
Topic 47,Merlot
Topic 47,Red Blend
Topic 47,Zinfandel
Topic 47,Riesling
Topic 47,Chardonnay
Topic 47,Rosé
Topic 47,White Blend
Topic 47,Cabernet Franc
Topic 47,Rosé
Topic 47,Merlot
Topic 47,Rosé
Topic 47,"Corvina, Rondinella, Molinara"
Topic 47,Riesling
Topic 47,Zinfandel
Topic 47,Rosé
Topic 47,Sauvignon Blanc
Topic 47,Tempranillo
Topic 47,Syrah
Topic 48,Sauvignon Blanc
Topic 48,White Blend
Topic 48,Portuguese Red
Topic 48,Riesling
Topic 48,Rosé
Topic 48,Riesling
Topic 48,Syrah
Topic 48,Rosé
Topic 48,Grüner Veltliner
Topic 48,Chardonnay
Topic 48,Bordeaux-style Red Blend
Topic 48,Chardonnay
Topic 48,Pinot Noir
Topic 48,Pinot Gris
Topic 48,Savatiano
Topic 48,Pinot Blanc
Topic 48,Cabernet Sauvignon
Topic 48,Chardonnay
Topic 48,Merlot
Topic 48,Rhône-style White Blend
Topic 48,Merlot
Topic 48,Merlot
Topic 48,Portuguese White
Topic 48,Sauvignon Blanc
Topic 48,Fumé Blanc
Topic 49,Merlot
Topic 49,Carmenère
Topic 49,Alicante Bouschet
Topic 49,Cabernet Sauvignon
Topic 49,Cabernet Sauvignon
Topic 49,Malbec
Topic 49,Cabernet Sauvignon
Topic 49,Pinot Noir
Topic 49,Sauvignon
Topic 49,Riesling
Topic 49,Cabernet Sauvignon
Topic 49,Merlot
Topic 49,Pinot Noir
Topic 49,Pinot Noir
Topic 49,Zweigelt
Topic 49,Portuguese Red
Topic 49,Bordeaux-style Red Blend
Topic 49,Tempranillo Blend
Topic 49,White Blend
Topic 49,Cabernet Sauvignon
Topic 49,Carricante
Topic 49,Malbec
Topic 49,Syrah
Topic 49,Cabernet Sauvignon
Topic 49,Meritage
Topic 50,Fumé Blanc
Topic 50,Cabernet Sauvignon
Topic 50,Sauvignon Blanc
Topic 50,Chardonnay
Topic 50,Merlot
Topic 50,White Blend
Topic 50,Chardonnay
Topic 50,Chardonnay
Topic 50,Syrah
Topic 50,Pinot Noir
Topic 50,Pinot Noir
Topic 50,Chardonnay
Topic 50,Chardonnay
Topic 50,Grenache
Topic 50,Chardonnay
Topic 50,Monastrell
Topic 50,Chardonnay
Topic 50,Tempranillo
Topic 50,Syrah
Topic 50,Grüner Veltliner
Topic 50,Pinot Noir
Topic 50,Sauvignon Blanc
Topic 50,Dolcetto
Topic 50,Merlot
Topic 50,Cabernet Sauvignon
Topic 51,Sauvignon Blanc
Topic 51,Riesling
Topic 51,Chardonnay
Topic 51,White Blend
Topic 51,Chenin Blanc
Topic 51,Portuguese Red
Topic 51,Chardonnay
Topic 51,Red Blend
Topic 51,Red Blend
Topic 51,Tempranillo
Topic 51,Rosé
Topic 51,White Blend
Topic 51,Gewürztraminer
Topic 51,Chardonnay
Topic 51,Sauvignon Blanc
Topic 51,Sparkling Blend
Topic 51,Pinot Gris
Topic 51,Sangiovese
Topic 51,Nero d'Avola
Topic 51,Cabernet Sauvignon
Topic 51,Sauvignon Blanc
Topic 51,Merlot
Topic 51,Chardonnay
Topic 51,White Blend
Topic 51,Pinot Gris
Topic 52,Chardonnay
Topic 52,Cabernet Blend
Topic 52,Chardonnay
Topic 52,Chardonnay
Topic 52,Malbec
Topic 52,Chardonnay
Topic 52,Malbec
Topic 52,Merlot
Topic 52,Pinot Blanc
Topic 52,Champagne Blend
Topic 52,Gamay
Topic 52,Shiraz
Topic 52,Red Blend
Topic 52,Chardonnay
Topic 52,Chardonnay
Topic 52,Pinot Noir
Topic 52,Cabernet Sauvignon
Topic 52,Cabernet Sauvignon
Topic 52,Merlot
Topic 52,Cabernet Sauvignon
Topic 52,Chardonnay
Topic 52,Rosé
Topic 52,Chardonnay
Topic 52,Portuguese Red
Topic 52,Chardonnay
Topic 53,Pinot Noir
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Merlot
Topic 53,Bobal
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Champagne Blend
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Zinfandel
Topic 53,Viognier
Topic 53,Chardonnay
Topic 53,Grenache Blanc
Topic 53,Chardonnay
Topic 53,Pinot Noir
Topic 53,Chardonnay
Topic 53,Chardonnay
Topic 53,Cabernet Sauvignon
Topic 53,Pinot Grigio
Topic 53,Chardonnay
Topic 54,Greco
Topic 54,Zinfandel
Topic 54,Rosé
Topic 54,Chardonnay
Topic 54,Shiraz
Topic 54,Barbera
Topic 54,Sangiovese
Topic 54,Merlot
Topic 54,Sangiovese
Topic 54,Pinot Noir
Topic 54,Syrah
Topic 54,"Corvina, Rondinella, Molinara"
Topic 54,Cabernet Sauvignon
Topic 54,Sparkling Blend
Topic 54,Bordeaux-style Red Blend
Topic 54,Syrah
Topic 54,Zinfandel
Topic 54,Barbera
Topic 54,Bovale
Topic 54,Bordeaux-style White Blend
Topic 54,Red Blend
Topic 54,Petite Sirah
Topic 54,Riesling
Topic 54,Rosé
Topic 54,Pinot Noir
Topic 55,Syrah
Topic 55,Syrah
Topic 55,Cabernet Franc
Topic 55,Red Blend
Topic 55,Tempranillo
Topic 55,Tempranillo
Topic 55,Pinot Noir
Topic 55,Merlot
Topic 55,Sangiovese
Topic 55,Pinot Noir
Topic 55,Pinot Gris
Topic 55,Syrah
Topic 55,Tempranillo-Cabernet Sauvignon
Topic 55,Sangiovese
Topic 55,Lambrusco
Topic 55,Garganega
Topic 55,Pinot Noir
Topic 55,Cabernet Sauvignon
Topic 55,Malbec
Topic 55,Syrah
Topic 55,Shiraz
Topic 55,White Blend
Topic 55,Riesling
Topic 55,Tempranillo
Topic 55,Garnacha
Topic 56,Sauvignon Blanc
Topic 56,Red Blend
Topic 56,Grüner Veltliner
Topic 56,Nero d'Avola
Topic 56,Sauvignon Blanc
Topic 56,Barbera
Topic 56,Grüner Veltliner
Topic 56,Sauvignon Blanc
Topic 56,Bordeaux-style Red Blend
Topic 56,Malbec
Topic 56,Riesling
Topic 56,Syrah
Topic 56,Chardonnay
Topic 56,Carignano
Topic 56,Rosé
Topic 56,Zinfandel
Topic 56,Barbera
Topic 56,Shiraz
Topic 56,Cabernet Sauvignon
Topic 56,Cabernet Sauvignon
Topic 56,Chardonnay
Topic 56,Chardonnay
Topic 56,Sauvignon
Topic 56,Cabernet Sauvignon
Topic 56,Weissburgunder
Topic 57,Pinot Noir
Topic 57,Carmenère
Topic 57,Shiraz
Topic 57,Zinfandel
Topic 57,Bordeaux-style Red Blend
Topic 57,Tempranillo
Topic 57,Syrah
Topic 57,Carmenère
Topic 57,Pinot Noir
Topic 57,Cabernet Sauvignon
Topic 57,Carmenère
Topic 57,Red Blend
Topic 57,Barbera
Topic 57,Merlot
Topic 57,Red Blend
Topic 57,Sauvignon Blanc
Topic 57,Tempranillo-Cabernet Sauvignon
Topic 57,Carmenère
Topic 57,Rosé
Topic 57,Pinot Noir
Topic 57,Chardonnay
Topic 57,Cabernet Sauvignon
Topic 57,Red Blend
Topic 57,Carmenère
Topic 57,Pinot Gris
Topic 58,Chardonnay
Topic 58,Cabernet Sauvignon
Topic 58,Pinot Noir
Topic 58,Sparkling Blend
Topic 58,Riesling
Topic 58,Sparkling Blend
Topic 58,Viognier
Topic 58,Red Blend
Topic 58,Pinot Noir
Topic 58,Chardonnay
Topic 58,Red Blend
Topic 58,Riesling
Topic 58,Riesling
Topic 58,Moscato
Topic 58,Cabernet Sauvignon
Topic 58,Chardonnay
Topic 58,Barbera
Topic 58,Sauvignon Blanc
Topic 58,Malbec
Topic 58,Riesling
Topic 58,Zinfandel
Topic 58,White Blend
Topic 58,Montepulciano
Topic 58,Pinot Noir
Topic 58,Sauvignon Blanc
Topic 59,Cabernet Sauvignon
Topic 59,Bordeaux-style Red Blend
Topic 59,Syrah
Topic 59,Pinot Blanc-Pinot Noir
Topic 59,Sauvignon Blanc
Topic 59,Zinfandel
Topic 59,Syrah
Topic 59,Portuguese Red
Topic 59,Chenin Blanc
Topic 59,Champagne Blend
Topic 59,Bordeaux-style White Blend
Topic 59,Petite Sirah
Topic 59,Bordeaux-style Red Blend
Topic 59,Champagne Blend
Topic 59,Pinot Noir
Topic 59,Bordeaux-style Red Blend
Topic 59,Tempranillo
Topic 59,Champagne Blend
Topic 59,Grüner Veltliner
Topic 59,Cabernet Sauvignon
Topic 59,Pinot Noir
Topic 59,Red Blend
Topic 59,Red Blend
Topic 59,Bordeaux-style Red Blend
Topic 59,Cabernet Sauvignon
Topic 60,Zinfandel
Topic 60,Syrah
Topic 60,Malbec
Topic 60,Cabernet Sauvignon
Topic 60,Bordeaux-style Red Blend
Topic 60,Pinot Noir
Topic 60,Pinot Noir
Topic 60,Pinot Noir
Topic 60,Zinfandel
Topic 60,Pinot Noir
Topic 60,Bordeaux-style Red Blend
Topic 60,Pinot Noir
Topic 60,Pinot Noir
Topic 60,Pinot Noir
Topic 60,Pinot Noir
Topic 60,Rhône-style Red Blend
Topic 60,Bordeaux-style Red Blend
Topic 60,Pinot Noir
Topic 60,Zinfandel
Topic 60,Cabernet Sauvignon
Topic 60,Portuguese Red
Topic 60,Cabernet Sauvignon
Topic 60,Petit Verdot
Topic 60,Pinot Noir
Topic 60,Syrah
Topic 61,Shiraz
Topic 61,Cabernet Sauvignon
Topic 61,Žilavka
Topic 61,Red Blend
Topic 61,Red Blend
Topic 61,Sauvignon Blanc
Topic 61,Syrah
Topic 61,Chardonnay
Topic 61,Rhône-style Red Blend
Topic 61,Chardonnay
Topic 61,Cabernet Sauvignon
Topic 61,Red Blend
Topic 61,Bordeaux-style Red Blend
Topic 61,Merlot
Topic 61,Chardonnay-Viognier
Topic 61,Viura-Chardonnay
Topic 61,Bordeaux-style Red Blend
Topic 61,Portuguese White
Topic 61,Chardonnay
Topic 61,Merlot
Topic 61,Riesling
Topic 61,Portuguese White
Topic 61,Tempranillo
Topic 61,Dolcetto
Topic 61,Chardonnay
Topic 62,Sparkling Blend
Topic 62,Bordeaux-style Red Blend
Topic 62,Sauvignon Blanc
Topic 62,Pinot Noir
Topic 62,Portuguese Red
Topic 62,Mourvèdre
Topic 62,Shiraz
Topic 62,Gamay
Topic 62,Bordeaux-style Red Blend
Topic 62,Sparkling Blend
Topic 62,Gamay
Topic 62,Garnacha
Topic 62,Savagnin
Topic 62,Bordeaux-style Red Blend
Topic 62,Bordeaux-style Red Blend
Topic 62,Chardonnay-Semillon
Topic 62,Cabernet Sauvignon
Topic 62,Gamay
Topic 62,Cabernet Sauvignon
Topic 62,Pinot Noir
Topic 62,Champagne Blend
Topic 62,Fiano
Topic 62,Chardonnay
Topic 62,Tempranillo
Topic 62,Cabernet Sauvignon
Topic 63,Portuguese Red
Topic 63,Cabernet Sauvignon
Topic 63,Cabernet Sauvignon
Topic 63,Syrah
Topic 63,Syrah
Topic 63,Syrah
Topic 63,Portuguese Red
Topic 63,Bordeaux-style Red Blend
Topic 63,Portuguese Red
Topic 63,Cabernet Sauvignon
Topic 63,Cabernet Sauvignon
Topic 63,Petite Sirah
Topic 63,Pinot Gris
Topic 63,Portuguese Red
Topic 63,Pinot Noir
Topic 63,Bordeaux-style Red Blend
Topic 63,Chardonnay
Topic 63,Bordeaux-style Red Blend
Topic 63,Zinfandel
Topic 63,Bordeaux-style Red Blend
Topic 63,Bordeaux-style Red Blend
Topic 63,Cabernet Sauvignon
Topic 63,Cabernet Sauvignon
Topic 63,Port
Topic 63,Sparkling Blend
Topic 64,Red Blend
Topic 64,Bordeaux-style Red Blend
Topic 64,White Blend
Topic 64,Bordeaux-style Red Blend
Topic 64,Merlot
Topic 64,Zinfandel
Topic 64,Red Blend
Topic 64,Bordeaux-style Red Blend
Topic 64,Pinot Grigio
Topic 64,Viognier
Topic 64,Pinot Noir
Topic 64,Grüner Veltliner
Topic 64,Bordeaux-style Red Blend
Topic 64,Chardonnay
Topic 64,Chardonnay
Topic 64,Pinot Grigio
Topic 64,Bordeaux-style Red Blend
Topic 64,Sauvignon Blanc
Topic 64,Merlot
Topic 64,Tempranillo
Topic 64,Cabernet Sauvignon
Topic 64,Pinot Gris
Topic 64,Pinot Noir
Topic 64,Pinot Noir
Topic 64,Cabernet Sauvignon
Topic 65,Red Blend
Topic 65,Red Blend
Topic 65,White Blend
Topic 65,Red Blend
Topic 65,Merlot
Topic 65,Chardonnay
Topic 65,Zinfandel
Topic 65,Verdejo
Topic 65,Cinsault
Topic 65,Cabernet Sauvignon
Topic 65,Pinot Noir
Topic 65,Sparkling Blend
Topic 65,Cabernet Sauvignon
Topic 65,Merlot
Topic 65,Shiraz
Topic 65,Bordeaux-style Red Blend
Topic 65,Bonarda
Topic 65,Merlot
Topic 65,Chardonnay
Topic 65,Rhône-style Red Blend
Topic 65,Cabernet Sauvignon
Topic 65,Viognier
Topic 65,Sauvignon Blanc
Topic 65,Bordeaux-style Red Blend
Topic 65,Bordeaux-style Red Blend
Topic 66,Sangiovese Grosso
Topic 66,Shiraz
Topic 66,Sauvignon Blanc
Topic 66,Malbec
Topic 66,Primitivo
Topic 66,Grenache
Topic 66,Mourvèdre
Topic 66,Pinot Noir
Topic 66,Rhône-style White Blend
Topic 66,Malbec
Topic 66,Cabernet Sauvignon
Topic 66,Merlot
Topic 66,Rosé
Topic 66,Cabernet Sauvignon
Topic 66,Sauvignon Blanc
Topic 66,Merlot
Topic 66,Albariño
Topic 66,Cabernet Sauvignon
Topic 66,Merlot
Topic 66,Pinot Noir
Topic 66,Cabernet Sauvignon-Merlot
Topic 66,Red Blend
Topic 66,Grüner Veltliner
Topic 66,Prosecco
Topic 66,Merlot
Topic 67,Malbec
Topic 67,Red Blend
Topic 67,Red Blend
Topic 67,Rhône-style Red Blend
Topic 67,Red Blend
Topic 67,Sangiovese
Topic 67,Portuguese Red
Topic 67,Pinot Noir
Topic 67,Red Blend
Topic 67,Pinot Noir
Topic 67,Cabernet Sauvignon
Topic 67,Cabernet Sauvignon
Topic 67,Red Blend
Topic 67,Zweigelt
Topic 67,Merlot
Topic 67,Shiraz
Topic 67,Riesling
Topic 67,Tinta de Toro
Topic 67,Sangiovese
Topic 67,Syrah
Topic 67,Red Blend
Topic 67,Cabernet Sauvignon
Topic 67,Nerello Mascalese
Topic 67,White Blend
Topic 67,Sangiovese
Topic 68,Sauvignon Blanc
Topic 68,Chardonnay
Topic 68,Sparkling Blend
Topic 68,Cabernet Sauvignon
Topic 68,Red Blend
Topic 68,Cabernet Sauvignon
Topic 68,Cabernet Sauvignon
Topic 68,Pinot Noir
Topic 68,Bordeaux-style Red Blend
Topic 68,Pinot Noir
Topic 68,Grüner Veltliner
Topic 68,Cabernet Sauvignon
Topic 68,Pinot Noir
Topic 68,Pinot Noir
Topic 68,Chardonnay
Topic 68,Chardonnay
Topic 68,Pinot Noir
Topic 68,Bordeaux-style Red Blend
Topic 68,Pinot Noir
Topic 68,Bordeaux-style Red Blend
Topic 68,Sauvignon Blanc
Topic 68,Malbec
Topic 68,Sangiovese
Topic 68,Portuguese White
Topic 68,Red Blend
Topic 69,Austrian white blend
Topic 69,Chardonnay
Topic 69,Gewürztraminer
Topic 69,Syrah
Topic 69,Bordeaux-style Red Blend
Topic 69,Chardonnay
Topic 69,Pinot Gris
Topic 69,Pinot Blanc
Topic 69,White Blend
Topic 69,Grüner Veltliner
Topic 69,Pinot Gris
Topic 69,Chardonnay
Topic 69,Portuguese Red
Topic 69,Chardonnay
Topic 69,Chardonnay
Topic 69,Chardonnay
Topic 69,White Blend
Topic 69,Chardonnay
Topic 69,Pinot Gris
Topic 69,Posip
Topic 69,Pinot Nero
Topic 69,Rhône-style Red Blend
Topic 69,Sparkling Blend
Topic 69,Pinot Gris
Topic 69,Morillon
Topic 70,Portuguese Red
Topic 70,Bordeaux-style Red Blend
Topic 70,Cabernet Sauvignon
Topic 70,Red Blend
Topic 70,Red Blend
Topic 70,Pinot Noir
Topic 70,Rosé
Topic 70,Syrah
Topic 70,Pinot Noir
Topic 70,Cabernet Sauvignon
Topic 70,Portuguese Red
Topic 70,Pinot Noir
Topic 70,Pinot Noir
Topic 70,Bordeaux-style Red Blend
Topic 70,Portuguese Red
Topic 70,Bordeaux-style Red Blend
Topic 70,Syrah
Topic 70,Red Blend
Topic 70,Portuguese Red
Topic 70,Pinot Noir
Topic 70,Sauvignon Blanc
Topic 70,Syrah
Topic 70,Syrah
Topic 70,Malvasia
Topic 70,Pinot Noir
Topic 71,Posip
Topic 71,Roditis
Topic 71,Semillon-Sauvignon Blanc
Topic 71,Pinot Grigio
Topic 71,Chardonnay
Topic 71,Rhône-style White Blend
Topic 71,Grüner Veltliner
Topic 71,Grüner Veltliner
Topic 71,Chardonnay
Topic 71,Chardonnay
Topic 71,Riesling
Topic 71,Friulano
Topic 71,Pinot Grigio
Topic 71,Greco
Topic 71,Rhône-style White Blend
Topic 71,Pinot Blanc
Topic 71,Riesling
Topic 71,Grüner Veltliner
Topic 71,Pinot Blanc
Topic 71,Alsace white blend
Topic 71,Pinot Gris
Topic 71,Riesling
Topic 71,Portuguese White
Topic 71,Chardonnay
Topic 71,White Blend
Topic 72,Chardonnay-Semillon
Topic 72,Chardonnay
Topic 72,Chardonnay
Topic 72,Chardonnay
Topic 72,Pinot Gris
Topic 72,Pinot Blanc
Topic 72,Chardonnay
Topic 72,Chardonnay
Topic 72,Sauvignon Blanc
Topic 72,Semillon-Sauvignon Blanc
Topic 72,Chardonnay
Topic 72,Chardonnay
Topic 72,Grüner Veltliner
Topic 72,Riesling
Topic 72,Chardonnay
Topic 72,Chardonnay
Topic 72,Sauvignon Blanc
Topic 72,Chardonnay
Topic 72,Chardonnay
Topic 72,Grillo
Topic 72,Pinot Gris
Topic 72,Alsace white blend
Topic 72,Chardonnay
Topic 72,White Blend
Topic 72,Pinot Gris
Topic 73,Bordeaux-style Red Blend
Topic 73,Chardonnay
Topic 73,Pinot Noir
Topic 73,Pinot Noir
Topic 73,Syrah
Topic 73,Cabernet Sauvignon
Topic 73,Pinot Noir
Topic 73,Grüner Veltliner
Topic 73,Pinot Noir
Topic 73,Grenache
Topic 73,Chardonnay
Topic 73,Chardonnay
Topic 73,Cabernet Sauvignon
Topic 73,Portuguese Red
Topic 73,Cabernet Sauvignon
Topic 73,Pinot Noir
Topic 73,Pinot Noir
Topic 73,Cabernet Sauvignon
Topic 73,Cabernet Sauvignon
Topic 73,Pinot Noir
Topic 73,Nerello Mascalese
Topic 73,Pinot Noir
Topic 73,Pinot Noir
Topic 73,Cabernet Sauvignon
Topic 73,Chardonnay
Topic 74,Chardonnay
Topic 74,Bordeaux-style Red Blend
Topic 74,Bordeaux-style White Blend
Topic 74,Rhône-style Red Blend
Topic 74,Red Blend
Topic 74,Sauvignon Blanc
Topic 74,Syrah
Topic 74,Pinot Noir
Topic 74,Chardonnay
Topic 74,Bordeaux-style Red Blend
Topic 74,Pinot Noir
Topic 74,Pinot Noir
Topic 74,Chardonnay
Topic 74,Bordeaux-style Red Blend
Topic 74,Port
Topic 74,Port
Topic 74,Bordeaux-style Red Blend
Topic 74,Sangiovese Grosso
Topic 74,Rhône-style Red Blend
Topic 74,Chardonnay
Topic 74,Port
Topic 74,Champagne Blend
Topic 74,Sauvignon Blanc
Topic 74,Aligoté
Topic 74,Alvarinho
Topic 75,Bordeaux-style Red Blend
Topic 75,Bordeaux-style Red Blend
Topic 75,Pinot Gris
Topic 75,Bordeaux-style Red Blend
Topic 75,Bordeaux-style Red Blend
Topic 75,White Blend
Topic 75,Cabernet Sauvignon
Topic 75,Sauvignon Blanc
Topic 75,Chardonnay
Topic 75,Pinot Noir
Topic 75,Viognier
Topic 75,Chardonnay
Topic 75,Chardonnay
Topic 75,Semillon-Sauvignon Blanc
Topic 75,Malbec
Topic 75,Pinot Noir
Topic 75,Marsanne
Topic 75,Grüner Veltliner
Topic 75,Pinot Noir
Topic 75,Bordeaux-style Red Blend
Topic 75,Chardonnay
Topic 75,Chardonnay
Topic 75,Cabernet Sauvignon
Topic 75,Pinot Gris
Topic 75,Bordeaux-style Red Blend
Topic 76,Cabernet Sauvignon
Topic 76,Cabernet Sauvignon
Topic 76,Cabernet Sauvignon
Topic 76,Cabernet Sauvignon
Topic 76,Nerello Mascalese
Topic 76,Pinot Noir
Topic 76,Primitivo
Topic 76,Tempranillo
Topic 76,Tempranillo
Topic 76,Cabernet Sauvignon
Topic 76,Cabernet Sauvignon
Topic 76,Red Blend
Topic 76,Cabernet Sauvignon
Topic 76,Cabernet Sauvignon
Topic 76,Cabernet Sauvignon
Topic 76,Barbera
Topic 76,Pinot Noir
Topic 76,Pinot Gris
Topic 76,Cabernet Sauvignon
Topic 76,Syrah
Topic 76,Merlot
Topic 76,Nebbiolo
Topic 76,Portuguese Red
Topic 76,Bordeaux-style Red Blend
Topic 76,Rosé
Topic 77,Muscat Blanc
Topic 77,Syrah
Topic 77,Cabernet Sauvignon
Topic 77,Viognier
Topic 77,Syrah
Topic 77,Merlot
Topic 77,Syrah
Topic 77,Pinot Noir
