topic,key_word
Topic 33,tastes
Topic 34,crisp
Topic 34,little
Topic 34,white
Topic 34,berry
Topic 34,barrel
Topic 34,sample
Topic 34,mouth
Topic 34,rich
Topic 34,touch
Topic 34,light
Topic 35,just
Topic 35,simple
Topic 35,plum
Topic 35,touch
Topic 35,lemon
Topic 35,aromas
Topic 35,great
Topic 35,fine
Topic 35,right
Topic 35,hint
Topic 36,mouth
Topic 36,alcohol
Topic 36,structure
Topic 36,high
Topic 36,spicy
Topic 36,lemon
Topic 36,bright
Topic 36,offers
Topic 36,pepper
Topic 36,nose
Topic 37,style
Topic 37,wood
Topic 37,offers
Topic 37,nose
Topic 37,crisp
Topic 37,structure
Topic 37,cherry
Topic 37,dried
Topic 37,fine
Topic 37,mouth
Topic 38,touch
Topic 38,style
Topic 38,tannic
Topic 38,citrus
Topic 38,easy
Topic 38,texture
Topic 38,firm
Topic 38,just
Topic 38,bright
Topic 38,plum
Topic 39,touch
Topic 39,crisp
Topic 39,simple
Topic 39,spicy
Topic 39,apple
Topic 39,fruits
Topic 39,pear
Topic 39,slightly
Topic 39,firm
Topic 39,dried
Topic 40,style
Topic 40,bright
Topic 40,easy
Topic 40,nose
Topic 40,years
Topic 40,raspberry
Topic 40,simple
Topic 40,mouthfeel
Topic 40,smooth
Topic 40,herbal
Topic 41,plum
Topic 41,spicy
Topic 41,citrus
Topic 41,offers
Topic 41,nose
Topic 41,simple
Topic 41,pear
Topic 41,tart
Topic 41,little
Topic 41,touch
Topic 42,touch
Topic 42,style
Topic 42,fine
Topic 42,spicy
Topic 42,citrus
Topic 42,raspberry
Topic 42,pepper
Topic 42,simple
Topic 42,elegant
Topic 42,dark
Topic 43,style
Topic 43,little
Topic 43,just
Topic 43,dark
Topic 43,mouth
Topic 43,fruits
Topic 43,aromas
Topic 43,balance
Topic 43,fine
Topic 43,apple
Topic 44,little
Topic 44,spicy
Topic 44,structure
Topic 44,raspberry
Topic 44,smooth
Topic 44,herbal
Topic 44,mouthfeel
Topic 44,peach
Topic 44,wood
Topic 44,dark
Topic 45,simple
Topic 45,raspberry
Topic 45,chocolate
Topic 45,bright
Topic 45,smooth
Topic 45,herbal
Topic 45,just
Topic 45,juicy
Topic 45,fine
Topic 45,spice
Topic 46,balanced
Topic 46,touch
Topic 46,fruits
Topic 46,plum
Topic 46,juicy
Topic 46,smooth
Topic 46,fruit
Topic 46,lemon
Topic 46,cola
Topic 46,elegant
Topic 47,balanced
Topic 47,offers
Topic 47,raspberry
Topic 47,easy
Topic 47,mouth
Topic 47,dried
Topic 47,currant
Topic 47,little
Topic 47,toast
Topic 47,dark
Topic 48,little
Topic 48,clean
Topic 48,bright
Topic 48,green
Topic 48,balanced
Topic 48,long
Topic 48,medium
Topic 48,years
Topic 48,style
Topic 48,peach
Topic 49,juicy
Topic 49,herbal
Topic 49,offers
Topic 49,touch
Topic 49,cola
Topic 49,peach
Topic 49,blackberry
Topic 49,smoky
Topic 49,vineyard
Topic 49,mineral
Topic 50,little
Topic 50,bright
Topic 50,toast
Topic 50,medium
Topic 50,balanced
Topic 50,plum
Topic 50,herbal
Topic 50,tastes
Topic 50,pineapple
Topic 50,weight
Topic 51,offers
Topic 51,clean
Topic 51,spicy
Topic 51,years
Topic 51,aromas
Topic 51,chocolate
Topic 51,touch
Topic 51,fruits
Topic 51,tropical
Topic 51,fruity
Topic 52,just
Topic 52,spicy
Topic 52,firm
Topic 52,structure
Topic 52,toast
Topic 52,chocolate
Topic 52,balanced
Topic 52,crisp
Topic 52,style
Topic 52,juicy
Topic 53,clean
Topic 53,toast
Topic 53,smooth
Topic 53,pineapple
Topic 53,buttered
Topic 53,fine
Topic 53,high
Topic 53,alcohol
Topic 53,herbal
Topic 53,structure
Topic 54,smooth
Topic 54,little
Topic 54,medium
Topic 54,tart
Topic 54,mouthfeel
Topic 54,structure
Topic 54,years
Topic 54,long
Topic 54,pepper
Topic 54,acidity
Topic 55,tart
Topic 55,mouthfeel
Topic 55,currant
Topic 55,fine
Topic 55,slightly
Topic 55,color
Topic 55,great
Topic 55,creamy
Topic 55,juicy
Topic 55,green
Topic 56,mineral
Topic 56,easy
Topic 56,little
Topic 56,chocolate
Topic 56,touch
Topic 56,tight
Topic 56,tart
Topic 56,texture
Topic 56,imported
Topic 56,aromas
Topic 57,herbal
